Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
423.15,10.15,119.02,2.77,0.0,0.0,3.0,0.0,0.0,6.0,0.241
423.15,15.27,119.02,7.89,0.0,0.0,3.0,0.0,0.0,6.0,0.324
423.15,20.2,119.02,12.82,0.0,0.0,3.0,0.0,0.0,6.0,0.394
323.15,5.08,19.02,-2.3,0.0,0.0,5.0,0.0,0.0,10.0,0.19
323.15,10.01,19.02,2.63,0.0,0.0,5.0,0.0,0.0,10.0,0.258
323.15,15.16,19.02,7.78,0.0,0.0,5.0,0.0,0.0,10.0,0.282
323.15,20.29,19.02,12.91,0.0,0.0,5.0,0.0,0.0,10.0,0.323
273.15,10.0,-30.98,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.895
278.15,10.0,-25.98,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.778
283.15,10.0,-20.98,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.656
288.15,10.0,-15.98,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.577
298.15,10.0,-5.98,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.432
313.15,10.0,9.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.232
333.15,10.0,29.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.057
353.15,10.0,49.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.887
393.15,10.0,89.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.735
433.15,10.0,129.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.708
473.15,10.0,169.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.704
513.15,10.0,209.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.67
553.15,10.0,249.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.497
573.15,10.0,269.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.302
273.15,20.0,-30.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,2.075
278.15,20.0,-25.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.949
283.15,20.0,-20.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.815
288.15,20.0,-15.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.723
293.15,20.0,-10.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.625
298.15,20.0,-5.98,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.568
313.15,20.0,9.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.396
333.15,20.0,29.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.269
353.15,20.0,49.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.198
373.15,20.0,69.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.162
393.15,20.0,89.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.166
413.15,20.0,109.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.206
433.15,20.0,129.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.217
453.15,20.0,149.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.312
473.15,20.0,169.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.356
493.15,20.0,189.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.434
513.15,20.0,209.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.547
533.15,20.0,229.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.618
553.15,20.0,249.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.624
573.15,20.0,269.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.622
273.15,30.0,-30.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.182
278.15,30.0,-25.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.029
283.15,30.0,-20.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.894
288.15,30.0,-15.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.807
293.15,30.0,-10.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.707
298.15,30.0,-5.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.65
313.15,30.0,9.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.473
333.15,30.0,29.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.36
353.15,30.0,49.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.322
373.15,30.0,69.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.338
393.15,30.0,89.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.362
413.15,30.0,109.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.444
433.15,30.0,129.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.549
453.15,30.0,149.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.677
473.15,30.0,169.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.877
493.15,30.0,189.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.063
513.15,30.0,209.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.344
533.15,30.0,229.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.562
553.15,30.0,249.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.82
573.15,30.0,269.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,3.148
273.15,40.0,-30.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,2.248
278.15,40.0,-25.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,2.104
283.15,40.0,-20.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.976
288.15,40.0,-15.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.876
293.15,40.0,-10.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.792
298.15,40.0,-5.98,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.734
313.15,40.0,9.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.547
333.15,40.0,29.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.429
353.15,40.0,49.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.413
373.15,40.0,69.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.424
393.15,40.0,89.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.498
413.15,40.0,109.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.626
433.15,40.0,129.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.791
453.15,40.0,149.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,2.007
473.15,40.0,169.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,2.304
493.15,40.0,189.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,2.602
513.15,40.0,209.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,3.029
533.15,40.0,229.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,3.599
553.15,40.0,249.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,4.247
573.15,40.0,269.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,5.109
273.15,50.0,-30.98,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.395
283.15,50.0,-20.98,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.109
293.15,50.0,-10.98,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.916
298.15,50.0,-5.98,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.856
313.15,50.0,9.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.707
333.15,50.0,29.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.585
353.15,50.0,49.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.52
373.15,50.0,69.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.555
393.15,50.0,89.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.638
413.15,50.0,109.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,1.791
433.15,50.0,129.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.0
453.15,50.0,149.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.248
473.15,50.0,169.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.616
493.15,50.0,189.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,3.053
513.15,50.0,209.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,3.665
533.15,50.0,229.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,4.406
553.15,50.0,249.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,5.408
573.15,50.0,269.02,42.62,0.0,0.0,0.0,0.0,0.0,0.0,7.561
293.15,60.0,-10.98,52.62,0.0,0.0,0.0,0.0,0.0,0.0,2.033
313.15,60.0,9.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.753
333.15,60.0,29.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.727
353.15,60.0,49.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.654
373.15,60.0,69.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.713
393.15,60.0,89.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.814
413.15,60.0,109.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,2.008
433.15,60.0,129.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,2.248
453.15,60.0,149.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,2.501
473.15,60.0,169.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,2.983
493.15,60.0,189.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,3.545
513.15,60.0,209.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,4.27
533.15,60.0,229.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,5.64
553.15,60.0,249.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,7.756
313.15,90.0,9.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,2.049
333.15,90.0,29.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,1.95
353.15,90.0,49.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,1.946
373.15,90.0,69.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,1.996
393.15,90.0,89.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,2.158
413.15,90.0,109.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,2.299
433.15,90.0,129.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,2.63
453.15,90.0,149.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,3.049
473.15,90.0,169.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,3.751
493.15,90.0,189.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,4.637
