Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
512.29,46.86787875,1.8326,0.0,0.0,0.0,0.0,1.8326,1.5907
512.29,49.536779249999995,1.8326,0.0,0.0,0.0,0.0,1.8326,1.6477
512.29,52.32625649999999,1.8326,0.0,0.0,0.0,0.0,1.8326,1.7055
512.29,55.24542975,1.8326,0.0,0.0,0.0,0.0,1.8326,1.7644
512.29,58.29936525,1.8326,0.0,0.0,0.0,0.0,1.8326,1.8246
512.29,61.496168999999995,1.8326,0.0,0.0,0.0,0.0,1.8326,1.8862
512.29,64.84293375,1.8326,0.0,0.0,0.0,0.0,1.8326,1.9496
512.29,68.345739,1.8326,0.0,0.0,0.0,0.0,1.8326,2.0149
512.29,72.0116775,1.8326,0.0,0.0,0.0,0.0,1.8326,2.0823
512.29,75.84682875,1.8326,0.0,0.0,0.0,0.0,1.8326,2.1521
512.29,79.856259,1.8326,0.0,0.0,0.0,0.0,1.8326,2.2245
512.29,84.04402125,1.8326,0.0,0.0,0.0,0.0,1.8326,2.2998
512.29,88.416195,1.8326,0.0,0.0,0.0,0.0,1.8326,2.3783
512.29,92.97683325,1.8326,0.0,0.0,0.0,0.0,1.8326,2.4602
512.29,97.72694925,1.8326,0.0,0.0,0.0,0.0,1.8326,2.546
512.29,102.67262249999999,1.8326,0.0,0.0,0.0,0.0,1.8326,2.6359
512.29,107.8098,1.8326,0.0,0.0,0.0,0.0,1.8326,2.7303
512.29,113.13949499999998,1.8326,0.0,0.0,0.0,0.0,1.8326,2.8297
512.29,118.66170749999999,1.8326,0.0,0.0,0.0,0.0,1.8326,2.9343
512.29,124.3764375,1.8326,0.0,0.0,0.0,0.0,1.8326,3.0449
512.29,130.2735525,1.8326,0.0,0.0,0.0,0.0,1.8326,3.1617
512.29,136.3530525,1.8326,0.0,0.0,0.0,0.0,1.8326,3.2855
512.29,142.5946725,1.8326,0.0,0.0,0.0,0.0,1.8326,3.4167
512.29,148.98828,1.8326,0.0,0.0,0.0,0.0,1.8326,3.5562
421.08,0.0,3.3004,0.0,0.0,0.0,0.0,3.3004,0.0
421.08,0.3977918175,3.3004,0.0,0.0,0.0,0.0,3.3004,0.0
421.08,1.872384675,3.3004,0.0,0.0,0.0,0.0,3.3004,0.068777
421.08,3.297622125,3.3004,0.0,0.0,0.0,0.0,3.3004,0.13069
421.08,4.676148749999999,3.3004,0.0,0.0,0.0,0.0,3.3004,0.1866
421.08,6.011105625,3.3004,0.0,0.0,0.0,0.0,3.3004,0.2372
421.08,7.306647075,3.3004,0.0,0.0,0.0,0.0,3.3004,0.28311
421.08,8.5668261,3.3004,0.0,0.0,0.0,0.0,3.3004,0.3249
421.08,9.796404975,3.3004,0.0,0.0,0.0,0.0,3.3004,0.36309
421.08,10.999842,3.3004,0.0,0.0,0.0,0.0,3.3004,0.39814
421.08,12.18230475,3.3004,0.0,0.0,0.0,0.0,3.3004,0.43046
421.08,13.34956875,3.3004,0.0,0.0,0.0,0.0,3.3004,0.46042
421.08,14.506700249999998,3.3004,0.0,0.0,0.0,0.0,3.3004,0.48834
421.08,15.65775225,3.3004,0.0,0.0,0.0,0.0,3.3004,0.5145
421.08,16.8098175,3.3004,0.0,0.0,0.0,0.0,3.3004,0.53916
421.08,17.96796225,3.3004,0.0,0.0,0.0,0.0,3.3004,0.56254
421.08,19.139279249999998,3.3004,0.0,0.0,0.0,0.0,3.3004,0.58484
421.08,20.3278215,3.3004,0.0,0.0,0.0,0.0,3.3004,0.60623
421.08,21.5396685,3.3004,0.0,0.0,0.0,0.0,3.3004,0.62688
421.08,22.78292625,3.3004,0.0,0.0,0.0,0.0,3.3004,0.6469
421.08,24.063674250000002,3.3004,0.0,0.0,0.0,0.0,3.3004,0.66644
421.08,25.38697875,3.3004,0.0,0.0,0.0,0.0,3.3004,0.68559
421.08,26.76297225,3.3004,0.0,0.0,0.0,0.0,3.3004,0.70446
421.08,28.195707749999997,3.3004,0.0,0.0,0.0,0.0,3.3004,0.72312
421.08,29.695317749999997,3.3004,0.0,0.0,0.0,0.0,3.3004,0.74167
421.08,31.268895,3.3004,0.0,0.0,0.0,0.0,3.3004,0.76017
421.08,32.92555875,3.3004,0.0,0.0,0.0,0.0,3.3004,0.77868
421.08,34.67442825,3.3004,0.0,0.0,0.0,0.0,3.3004,0.79728
421.08,36.52462275,3.3004,0.0,0.0,0.0,0.0,3.3004,0.816
421.08,38.487288,3.3004,0.0,0.0,0.0,0.0,3.3004,0.8349
421.08,40.5725565,3.3004,0.0,0.0,0.0,0.0,3.3004,0.85403
421.08,42.791574,3.3004,0.0,0.0,0.0,0.0,3.3004,0.87344
421.08,45.15751275,3.3004,0.0,0.0,0.0,0.0,3.3004,0.89315
421.08,47.68455825,3.3004,0.0,0.0,0.0,0.0,3.3004,0.91322
421.08,50.38588275,3.3004,0.0,0.0,0.0,0.0,3.3004,0.93368
421.08,53.27668499999999,3.3004,0.0,0.0,0.0,0.0,3.3004,0.95457
421.08,56.37419025,3.3004,0.0,0.0,0.0,0.0,3.3004,0.97591
421.08,59.696636999999996,3.3004,0.0,0.0,0.0,0.0,3.3004,0.99776
421.08,63.263277,3.3004,0.0,0.0,0.0,0.0,3.3004,1.0201
421.08,67.09437525,3.3004,0.0,0.0,0.0,0.0,3.3004,1.0431
421.08,71.21222325,3.3004,0.0,0.0,0.0,0.0,3.3004,1.0666
421.08,75.6431655,3.3004,0.0,0.0,0.0,0.0,3.3004,1.0908
421.08,80.4135465,3.3004,0.0,0.0,0.0,0.0,3.3004,1.1157
421.08,85.55173725,3.3004,0.0,0.0,0.0,0.0,3.3004,1.1413
421.08,91.09117499999999,3.3004,0.0,0.0,0.0,0.0,3.3004,1.1677
421.08,97.065297,3.3004,0.0,0.0,0.0,0.0,3.3004,1.1949
421.08,103.51362,3.3004,0.0,0.0,0.0,0.0,3.3004,1.223
421.08,110.48478,3.3004,0.0,0.0,0.0,0.0,3.3004,1.2519
421.08,118.0132275,3.3004,0.0,0.0,0.0,0.0,3.3004,1.2819
421.08,126.15975749999998,3.3004,0.0,0.0,0.0,0.0,3.3004,1.3129
421.08,134.9750325,3.3004,0.0,0.0,0.0,0.0,3.3004,1.345
421.08,144.52998,3.3004,0.0,0.0,0.0,0.0,3.3004,1.3782
359.09,0.0,2.3945,0.0,0.0,0.0,0.0,2.3945,0.0
359.09,0.05473272525,2.3945,0.0,0.0,0.0,0.0,2.3945,0.0
359.09,1.2339358500000002,2.3945,0.0,0.0,0.0,0.0,2.3945,0.090415
359.09,2.358846,2.3945,0.0,0.0,0.0,0.0,2.3945,0.16974
